plz,ort
8489,Wildberg
8913,Ottenbach
8422,Pfungen
8194,Hüntwangen
8708,Männedorf
8156,Oberhasli
8610,Uster
8353,Elgg
8408,Winterthur
8932,Mettmenstetten
8153,Rümlang
8143,Stallikon
8477,Oberstammheim
8810,Horgen
8135,Langnau am Albis
8418,Schlatt ZH
8472,Seuzach
8700,Küsnacht ZH
8908,Hedingen
8934,Knonau
8132,Egg b. Zürich
8805,Richterswil
8247,Flurlingen
8158,Regensberg
8004,Zürich
8306,Brüttisellen
8152,Opfikon
8700,Küsnacht ZH
8192,Zweidlen
8412,Riet (Neftenbach)
8610,Uster
8926,Hauptikon
8627,Grüningen
8125,Zollikerberg
8052,Zürich
8134,Adliswil
8345,Adetswil
8107,Buchs ZH
8132,Hinteregg
8354,Hofstetten ZH
8428,Teufen ZH
8464,Ellikon am Rhein
8952,Schlieren
8618,Oetwil am See
8902,Urdorf
8342,Wernetshausen
8312,Winterberg ZH
8050,Zürich
8136,Gattikon
8942,Oberrieden
8523,Hagenbuch ZH
8142,Uitikon Waldegg
8197,Rafz
8008,Zürich
8104,Weiningen ZH
8489,Schalchen
8055,Zürich
8142,Uitikon Waldegg
8496,Steg im Tösstal
8400,Winterthur
8330,Pfäffikon ZH
8180,Bülach
8494,Bauma
8460,Marthalen
8903,Birmensdorf ZH
8197,Rafz
8164,Bachs
8627,Grüningen
8154,Oberglatt ZH
8134,Adliswil
8625,Gossau ZH
8354,Hofstetten ZH
8910,Affoltern am Albis
8476,Unterstammheim
8617,Mönchaltorf
8474,Dinhard
8307,Ottikon b. Kemptthal
8542,Wiesendangen
8543,Bertschikon
8452,Adlikon b. Andelfingen
8049,Zürich
8053,Zürich
8002,Zürich
8006,Zürich
8447,Dachsen
8483,Kollbrunn
8197,Rafz
8951,Fahrweid
8543,Kefikon ZH
8155,Nassenwil
8471,Dägerlen
8482,Sennhof (Winterthur)
8051,Zürich
8915,Hausen am Albis
8052,Zürich
8180,Bülach
8164,Bachs
8634,Hombrechtikon
8051,Zürich
8627,Grüningen
8630,Rüti ZH
8103,Unterengstringen
8714,Feldbach
8404,Reutlingen (Winterthur)
8404,Stadel (Winterthur)
8633,Wolfhausen
8184,Bachenbülach
8820,Wädenswil
8165,Oberweningen
8001,Zürich
8155,Niederhasli
8143,Uetliberg
8603,Schwerzenbach
8196,Wil ZH
8600,Dübendorf
6340,Sihlbrugg
8192,Glattfelden
8405,Winterthur
8706,Meilen
8051,Zürich
8117,Fällanden
8416,Flaach
8816,Hirzel
8187,Weiach
8320,Fehraltorf
8499,Sternenberg
8484,Weisslingen
8462,Rheinau
8635,Dürnten
8608,Bubikon
8413,Neftenbach
8912,Obfelden
